Model,MAE,MSE,R2
LinearRegression,82657.94605892446,10549721686.160324,0.9146454505137984
RobustRegression,199465.55955429323,61664910393.24946,0.501088199072818
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.559587,0.8779812271613102
PolynomialRegression,82894.44718765584,10604968418.104385,0.9141984662182927
SGDRegressor,7.282099682792133e+17,5.430260045304752e+35,-4.3934561834739916e+24
ANN,199488.60076690218,61513640688.24015,0.5023120756741238
RandomForest,98406.85262237597,15114500945.268785,0.8777132272044111
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
